"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,ctr_page_1,,text,"Record ID",,,,,,,,,,,,,
ctr_login,ctr_page_1,,checkbox,"Welcome to the CTR Survey, please select the passcode combination to begin.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,,,,,,,
login_ra_id,ctr_page_1,,text,"RA ID Number",,,,,,y,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",y,,,,,
patientname,ctr_page_1,"<div class=""rich-text-field-label""><p>NATIONAL TRAUMA REGISTRY</p> <p><br />REGISTRE NATIONAL DES TRAUMATISMES</p></div>",text,"Patient Name 

Nom du patient",,,,,,y,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",y,,,,,
patient_ctr_id,ctr_page_1,,radio,"<div class=""rich-text-field-label""><p>Patient CTR ID<br />ID CTR du Patient</p> <p> </p> <p><em>Hospital code - Patient number</em></p> <p><em>Code Hôpital - Numero patient</em></p> <p> </p></div>","HLD, HLD | HRB, HRB | HRE, HRE | HRM, HRM | HRL, HRL | HCP, HCP | CUY, CUY | BRH, BRH | HDK, HDK | HDB, HDB","{site_id} This is the unique patient CTR ID which is an alphanumeric code in the format hospital code - patient number. The RA should assign each patient at their site a number sequentially. Select the hospital code and type the number (whole number) in the text box.",,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",y,,,,,
site_id,ctr_page_1,,text,"What is the patient's local (hospital based) identification number (CTR ID)?

Quel est le numéro d'enregistrement (CTR ID) local du patient (provenant de l'hôpital) ?
",,,integer,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",y,,,,,
unique_ctr_id,ctr_page_1,,text,"CTR Unique Patient Identifier

CTR identifiant unique du patient

",,,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",y,,,,,
phonenumber,ctr_page_1,,text,"Phone Number

Numéro de téléphone
",,"Entry should be a number WITHOUT spaces. For example, you would put 444444444, NOT 444 44 44 44. If a patient's family did not provide a telephone number, put 99",integer,99,999999999,y,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",y,,,,,
phonenumber_2,ctr_page_1,,text,"Alternate Phone Number:

Numéro alternatif:",,"Entry should be a number WITHOUT spaces. For example, you would put 444444444, NOT 444 44 44 44. If a patient's family did not provide a telephone number, put 99",integer,99,999999999,y,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
hospital,ctr_page_1,,radio,"Hospital

Hôpital

","0, HLD | 1, HRB | 2, HRE | 3, HRM | 4, HRL | 5, HCP | 6, CUY | 7, BRH | 8, HDK | 9, HDB",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",y,,,,,
